WardID,WardName,WardName_New,DistrictID,DistrictName,ProvinceID,ProvinceName,ProvinceName_New,,,Status,FullMerger
60401,Thị trấn Xuân Hòa,Xã Trường Hà,1939,Huyện Hà Quảng,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60412,Xã Quý Quân,Xã Trường Hà,1939,Huyện Hà Quảng,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60414,Xã Sóc Hà,Xã Trường Hà,1939,Huyện Hà Quảng,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60417,Xã Trường Hà,Xã Trường Hà,1939,Huyện Hà Quảng,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60416,Xã Tổng Cọt,Xã Tổng Cọt,1939,Huyện Hà Quảng,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60410,Xã Nội Thôn,Xã Tổng Cọt,1939,Huyện Hà Quảng,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60402,Xã Cải Viên,Xã Tổng Cọt,1939,Huyện Hà Quảng,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60801,Thị trấn Nước Hai,Xã Hòa An,1943,Huyện Hòa An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60814,Xã Hồng Việt,Xã Hòa An,1943,Huyện Hòa An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60807,Xã Đại Tiến,Xã Hòa An,1943,Huyện Hòa An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60813,Xã Hồng Nam,Xã Kim Đồng,1943,Huyện Hòa An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61007,Xã Kim Đồng,Xã Kim Đồng,3289,Huyện Thạch An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61012,Xã Thái Cường,Xã Kim Đồng,3289,Huyện Thạch An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60809,Xã Đức Long,Xã Nam Tuấn,1943,Huyện Hòa An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60808,Xã Dân Chủ,Xã Nam Tuấn,1943,Huyện Hòa An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60816,Xã Nam Tuấn,Xã Nam Tuấn,1943,Huyện Hòa An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60818,Xã Nguyễn Huệ,Xã Nguyễn Huệ,1943,Huyện Hòa An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60819,Xã Quang Trung,Xã Nguyễn Huệ,1943,Huyện Hòa An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60817,Xã Ngũ Lão,Xã Nguyễn Huệ,1943,Huyện Hòa An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61101,Thị trấn Thanh Nhật,Xã Hạ Lang,3194,Huyện Hạ Lang,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800234,Xã Thống Nhất,Xã Hạ Lang,3194,Huyện Hạ Lang,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61112,Xã Thị Hoa,Xã Hạ Lang,3194,Huyện Hạ Lang,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61107,Xã Lý Quốc,Xã Lý Quốc,3194,Huyện Hạ Lang,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61108,Xã Minh Long,Xã Lý Quốc,3194,Huyện Hạ Lang,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61104,Xã Đồng Loan,Xã Lý Quốc,3194,Huyện Hạ Lang,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61105,Xã Đức Quang,Xã Quang Long,3194,Huyện Hạ Lang,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61111,Xã Thắng Lợi,Xã Quang Long,3194,Huyện Hạ Lang,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61109,Xã Quang Long,Xã Quang Long,3194,Huyện Hạ Lang,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61106,Xã Kim Loan,Xã Vinh Quý,3194,Huyện Hạ Lang,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61102,Xã An Lạc,Xã Vinh Quý,3194,Huyện Hạ Lang,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61103,Xã Cô Ngân,Xã Vinh Quý,3194,Huyện Hạ Lang,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61114,Xã Vinh Quý,Xã Vinh Quý,3194,Huyện Hạ Lang,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60717,Xã Thịnh Vượng,Xã Bạch Đằng,3246,Huyện Nguyên Bình,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60802,Xã Bạch Đằng,Xã Bạch Đằng,1943,Huyện Hòa An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60804,Xã Bình Dương,Xã Bạch Đằng,1943,Huyện Hòa An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60704,Xã Ca Thành,Xã Ca Thành,3246,Huyện Nguyên Bình,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60720,Xã Yên Lạc,Xã Ca Thành,3246,Huyện Nguyên Bình,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60709,Xã Minh Tâm,Xã Minh Tâm,3246,Huyện Nguyên Bình,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60820,Xã Trương Lương,Xã Minh Tâm,1943,Huyện Hòa An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60701,Thị trấn Nguyên Bình,Xã Nguyên Bình,3246,Huyện Nguyên Bình,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60716,Xã Thể Dục,Xã Nguyên Bình,3246,Huyện Nguyên Bình,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800235,Xã Vũ Minh,Xã Nguyên Bình,3246,Huyện Nguyên Bình,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60711,Xã Phan Thanh,Xã Phan Thanh,3246,Huyện Nguyên Bình,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60708,Xã Mai Long,Xã Phan Thanh,3246,Huyện Nguyên Bình,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60706,Xã Hưng Đạo,Xã Tam Kim,3246,Huyện Nguyên Bình,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60713,Xã Tam Kim,Xã Tam Kim,3246,Huyện Nguyên Bình,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60705,Xã Hoa Thám,Xã Tam Kim,3246,Huyện Nguyên Bình,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60715,Xã Thành Công,Xã Thành Công,3246,Huyện Nguyên Bình,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60712,Xã Quang Thành,Xã Thành Công,3246,Huyện Nguyên Bình,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60702,Thị trấn Tĩnh Túc,Xã Tĩnh Túc,3246,Huyện Nguyên Bình,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60718,Xã Triệu Nguyên,Xã Tĩnh Túc,3246,Huyện Nguyên Bình,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60719,Xã Vũ Nông,Xã Tĩnh Túc,3246,Huyện Nguyên Bình,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800320,Xã Bế Văn Đàn,Xã Bế Văn Đàn,3694,Huyện Quảng Hòa,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800321,Xã Cách Linh,Xã Bế Văn Đàn,3694,Huyện Quảng Hòa,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800316,Xã Hồng Quang,Xã Bế Văn Đàn,3694,Huyện Quảng Hòa,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800317,Xã Ngọc Động,Xã Hạnh Phúc,3694,Huyện Quảng Hòa,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
